iter	RMSE
0	0.6525209621
1	0.6464170349
2	0.6402490333
3	0.6340027649
4	0.6279085848
5	0.6218555403
6	0.6158254319
7	0.6101358229
8	0.6042432447
9	0.5984532179
10	0.5926666084
11	0.5869374922
12	0.5813562794
13	0.5757589953
14	0.5702429177
15	0.564898538
16	0.5595125705
17	0.5540535549
18	0.5487214361
19	0.5434993299
20	0.538375253
21	0.5332220118
22	0.52816004
23	0.5231051865
24	0.5180886008
25	0.5130998439
26	0.5081825726
27	0.503254733
28	0.4984481028
29	0.493680039
30	0.4888512305
31	0.4841626269
32	0.4795290554
33	0.4749367391
34	0.4703681046
35	0.4658544038
36	0.4614807969
37	0.4570775334
38	0.4526864903
39	0.4483189182
40	0.4440066929
41	0.4396943953
42	0.4354428393
43	0.4312970886
44	0.4271349554
45	0.4230157951
46	0.4189392834
47	0.414875343
48	0.4109604067
49	0.4070453056
50	0.4031278068
51	0.3992581468
52	0.395563989
53	0.3917716277
54	0.3880014655
55	0.3843313084
56	0.3806527558
57	0.3771269862
58	0.3734839663
59	0.3698352851
60	0.3663074502
61	0.362840998
62	0.3594717102
63	0.3560127072
64	0.3525953193
65	0.349293569
66	0.3459202471
67	0.3426702512
68	0.3393365347
69	0.3360593932
70	0.3328993013
71	0.3297110677
72	0.3265644728
73	0.3234246391
74	0.3204634787
75	0.3173590034
76	0.3143142661
77	0.3112845474
78	0.3083107609
79	0.3053745178
80	0.3024590254
81	0.2995918104
82	0.2967503819
83	0.2939598988
84	0.2911484622
85	0.2883834124
86	0.2856674569
87	0.2829873214
88	0.280293357
89	0.2776103794
90	0.2749982745
91	0.2724292902
92	0.2699066693
93	0.2674453756
94	0.2648957383
95	0.2624214036
96	0.2599961193
97	0.2575423503
98	0.2550958208
99	0.2526522086
100	0.2502867502
101	0.2479466896
102	0.2455829979
103	0.2432337955
104	0.2409496755
105	0.2386882227
106	0.236421786
107	0.2342105186
108	0.2320336523
109	0.2298612644
110	0.2277014612
111	0.2255684861
112	0.2234399489
113	0.2213799838
114	0.2192917072
115	0.2172405419
116	0.2151853913
117	0.213146146
118	0.2111427885
119	0.2091603537
120	0.2071928351
121	0.2052513406
122	0.2033216497
123	0.2013765542
124	0.1995222952
125	0.1976463022
126	0.1957869897
127	0.1939687157
128	0.1921725149
129	0.1903461043
130	0.1885689865
131	0.1867818976
132	0.1850175143
133	0.1833045102
134	0.181615225
135	0.1799107189
136	0.1782227821
137	0.1765500133
138	0.1748901337
139	0.1732534131
140	0.1716058398
141	0.1700322944
142	0.1684752368
143	0.16689747
144	0.1653460372
145	0.1637964664
146	0.1622516904
147	0.1607618386
148	0.1592560471
149	0.157768174
150	0.1563097299
151	0.1549014609
152	0.1534838055
153	0.1520361631
154	0.1506137613
155	0.1492474626
156	0.1478772286
157	0.1465440552
158	0.1451827723
159	0.1438576131
160	0.1425412584
161	0.1412213957
162	0.1399475471
163	0.1386673424
164	0.1373773744
165	0.1361134235
166	0.1348888149
167	0.1336518475
168	0.1324515701
169	0.13122278
170	0.1300379804
171	0.1288538142
172	0.1276617885
173	0.1264946762
174	0.1253386163
175	0.1241827246
176	0.1230449264
177	0.1219357604
178	0.1208151255
179	0.1197266093
180	0.1186454384
181	0.1175692152
182	0.1165121589
183	0.1154867935
184	0.1144229935
185	0.1133697048
186	0.1123450111
187	0.1113366708
188	0.1103187108
189	0.1093425891
190	0.1083654483
191	0.1074014222
192	0.106422073
193	0.1054631781
194	0.1045004006
195	0.1035836977
196	0.1026487157
197	0.1017371952
198	0.1008267284
199	0.09993095843
200	0.09904677464
201	0.09816578953
202	0.09729376007
203	0.09642799606
204	0.09556773357
205	0.09473331762
206	0.09389692541
207	0.09306689362
208	0.09224536868
209	0.09143366439
210	0.09062824477
211	0.08982304964
212	0.08903107466
213	0.08823255389
214	0.08747134534
215	0.08671729785
216	0.08595905544
217	0.08519264584
218	0.08445525343
219	0.08372301759
220	0.08299764571
221	0.082264837
222	0.08154340739
223	0.08083119648
224	0.08013934538
225	0.07944901455
226	0.07875457455
227	0.07809043822
228	0.07743244488
229	0.07676112344
230	0.07608728706
231	0.07542888771
232	0.07479776854
233	0.07415905465
234	0.07352343748
235	0.07289639422
236	0.07231256171
237	0.07171750617
238	0.0711041775
239	0.07050929749
240	0.0699049045
241	0.0693292966
242	0.06874943507
243	0.06817718388
244	0.06758822215
245	0.06703589161
246	0.06648057723
247	0.06593543072
248	0.0654203309
249	0.06487322895
250	0.064342622
251	0.06382183964
252	0.06328183034
253	0.06275103037
254	0.06223829975
255	0.06174047065
256	0.06122642321
257	0.06072361466
258	0.06024533062
259	0.05975281385
260	0.05927821395
261	0.05880297876
262	0.05834530701
263	0.05788224052
264	0.05740855588
265	0.05697107912
266	0.05650859803
267	0.0560435705
268	0.05560082916
269	0.05514695808
270	0.05469328831
271	0.05426624424
272	0.05384723023
273	0.05341162122
274	0.05299841205
275	0.05259679973
276	0.05218026195
277	0.05176962099
278	0.05135985737
279	0.05096728907
280	0.05057785478
281	0.05019411298
282	0.04981758109
283	0.04944023434
284	0.04906374523
285	0.04869493304
286	0.04834387196
287	0.04799156251
288	0.0476276832
289	0.04727136645
290	0.04691756259
291	0.04657980134
292	0.04623035903
293	0.04589532494
294	0.04555785089
295	0.04521587019
296	0.04488635871
297	0.04455700215
298	0.04423403093
299	0.043927894
300	0.04361191963
301	0.04329780186
302	0.04298366572
303	0.04267121719
304	0.04236738159
305	0.0420719088
306	0.04176888477
307	0.04147467432
308	0.04116806259
309	0.04088402921
310	0.04060773181
311	0.04031301245
312	0.04003419356
313	0.0397703432
314	0.03949934807
315	0.03922555703
316	0.03895738616
317	0.03868350917
318	0.03841538599
319	0.03815581222
320	0.03790913877
321	0.03765397392
322	0.03740854254
323	0.03714915458
324	0.03689966395
325	0.03665468343
326	0.03641741651
327	0.03617701547
328	0.03593559646
329	0.0357014474
330	0.03546344238
331	0.03523800022
332	0.03501953926
333	0.0347931058
334	0.03457835661
335	0.0343582564
336	0.03413209975
337	0.03393120579
338	0.03372014678
339	0.03351038305
340	0.03328949992
341	0.03308271405
342	0.03288634694
343	0.03269379218
344	0.03250102885
345	0.03230612197
346	0.03211405852
347	0.03192517875
348	0.03173643805
349	0.03155624925
350	0.03136850582
351	0.03118291381
352	0.03100080513
353	0.03082457815
354	0.03063583809
355	0.03045380777
356	0.03027950783
357	0.03011388783
358	0.02994249241
359	0.02977584738
360	0.02960865697
361	0.02945279441
362	0.02929796943
363	0.02913323383
364	0.02897576707
365	0.0288214875
366	0.02867528798
367	0.02852872749
368	0.02839272049
369	0.02824573488
370	0.02809379338
371	0.02793911748
372	0.02780863368
373	0.02766074128
374	0.02750475942
375	0.02737542247
376	0.02723614557
377	0.02711145992
378	0.02697395103
379	0.02683680434
380	0.02670021085
381	0.02656599132
382	0.02643556442
383	0.02630541251
384	0.02617778282
385	0.02605741159
386	0.02593652798
387	0.02582262414
388	0.025705209
389	0.02557512305
390	0.02545414353
391	0.02532808997
392	0.02520681384
393	0.02509347651
394	0.02499405908
395	0.02487947215
396	0.02476941812
397	0.02465779898
398	0.02456554099
399	0.0244633184
400	0.02436200326
401	0.02426423574
402	0.02416283572
403	0.02404962356
404	0.02394582136
405	0.02384403933
406	0.02374781244
407	0.02365007832
408	0.023546719
409	0.02345703999
410	0.02335867883
411	0.02326455501
412	0.02316428612
413	0.02306065763
414	0.02297492086
415	0.022884256
416	0.02280499695
417	0.02271417169
418	0.02263529175
419	0.02255280805
420	0.02247612219
421	0.02238494267
422	0.02231441561
423	0.02222566934
424	0.02214970498
425	0.02207684447
426	0.02199177814
427	0.02191582408
428	0.02184123591
429	0.02176515618
430	0.02168552927
431	0.02160951026
432	0.02153538714
433	0.02145973846
434	0.02138563749
435	0.02131504915
436	0.02123690593
437	0.02116969965
438	0.02110162556
439	0.02102916891
440	0.02096394866
441	0.02089385319
442	0.02082399037
443	0.02075891079
444	0.02069740708
445	0.02063091661
446	0.02056209441
447	0.02050711941
448	0.02044269358
449	0.02038175662
450	0.02031569698
451	0.02025619355
452	0.02019971553
453	0.02014106601
454	0.02008184069
455	0.02003005905
456	0.0199638201
457	0.01990923967
458	0.01985695177
459	0.01980181151
460	0.01975122434
461	0.01969872807
462	0.0196433141
463	0.01959178526
464	0.01953708413
465	0.01949032905
466	0.01944390042
467	0.01939801769
